,m2,isitma,celly_buildingAge,celly_floortype,location,price,ad_duration,boğaza_bakan,metroya_yakın,teras,eşyalı,bahçeli,bedroom,salon
45,120.0,Kombi,16,Ara Kat,"Sarıyer,Ayazağa Mahallesi",2350,0,0,0,0,0,0,2,1
46,35.0,Kombi,15,Ara Kat,"Sarıyer,Yeniköy Mahallesi",9000,0,0,0,0,0,0,4,1
47,40.0,Kombi,0,Ara Kat,"Sarıyer,Ferahevler Mahallesi",22000,0,0,0,0,0,1,3,1
48,100.0,Kombi,25,Ara Kat,"Sarıyer,Darüşşafaka Mahallesi",3350,0,0,0,0,0,0,2,1
49,140.0,Kombi,12,Ara Kat,"Sarıyer,Ayazağa Mahallesi",1750,0,0,0,1,0,0,3,1
50,133.51399253731344,Kombi,0,Ara Kat,"Sarıyer,Ferahevler Mahallesi",48000,0,1,0,0,0,0,4,1
51,168.0,Kombi,10,Ara Kat,"Sarıyer,İstinye Mahallesi",12000,0,0,0,0,0,0,3,1
52,50.0,Kombi,25,Çatı Katı,"Sarıyer,Yeniköy Mahallesi",12000,0,0,0,1,0,0,5,2
53,175.0,Kombi,40,1. Kat,"Sarıyer,Yeniköy Mahallesi",14000,0,1,0,0,0,0,3,1
54,105.0,Kombi,5,Çatı Katı,"Sarıyer,Maslak Mahallesi",8990,0,0,0,0,1,0,1,1
55,190.0,Kombi,5,Çatı Katı,"Sarıyer,Tarabya Mahallesi",7000,0,0,0,1,0,0,3,1
56,85.0,Kombi,20,Ara Kat,"Sarıyer,Ayazağa Mahallesi",1700,0,0,0,0,0,0,2,1
57,120.0,Kombi,25,Ara Kat,"Sarıyer,Tarabya Mahallesi",7000,1,1,0,0,1,0,2,1
58,100.0,Kombi,25,Ara Kat,"Sarıyer,Tarabya Mahallesi",2500,0,0,1,0,0,0,2,1
59,110.0,Kombi,27,1. Kat,"Sarıyer,Darüşşafaka Mahallesi",3350,0,0,0,0,0,0,2,1
60,160.0,Kombi,30,Ara Kat,"Sarıyer,Reşitpaşa Mahallesi",6400,1,0,0,0,0,0,3,1
61,450.0,Kombi,20,Ara Kat,"Sarıyer,Tarabya Mahallesi",20000,0,0,0,1,0,0,4,1
62,125.0,Kombi,3,Ara Kat,"Sarıyer,Huzur Mahallesi",8190,0,0,0,0,1,0,2,1
63,80.0,Kombi,12,Ara Kat,"Sarıyer,İstinye Mahallesi",25000,0,0,0,1,0,0,5,1
64,130.0,Kombi,8,1. Kat,"Sarıyer,İstinye Mahallesi",15000,0,0,0,0,0,1,2,1
65,50.0,Kombi,25,Çatı Katı,"Sarıyer,Yeniköy Mahallesi",12000,1,0,0,1,0,0,5,1
66,50.0,Kombi,25,Çatı Katı,"Sarıyer,Yeniköy Mahallesi",12000,3,0,0,1,0,0,5,2
67,120.0,Kombi,15,Ara Kat,"Sarıyer,Tarabya Mahallesi",6000,0,1,0,0,0,0,2,1
