,m2,celly_houseRoomCount,description,isitma,celly_buildingAge,celly_floortype,location,days,price
40,70,2 + 1, sarıyer büyükdere de yüksek giriş kiralık 2+1 bahçe katı,Kombi,50 Yaşında, Yüksek Giriş,"Sarıyer,Büyükdere Mahallesi",13 Temmuz 2020,"1,300 TL"
41,104,1 + 1, 42 maslak b kule'de modern eşyalı kiralık 1+1 daire (237),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",13 Temmuz 2020,"8,990 TL"
42,140,3 + 1, sarıyer tarabya metro'ya yakın boğaz & köprü manzaralı möbleli,Kombi,15 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"7,500 TL"
43,00,3 + 1, panorama'dan istinye park 1.faz'da mobilyalı kiralık daire,Kombi,11 Yaşında, 3. Kat,"Sarıyer,İstinye Mahallesi",13 Temmuz 2020,"23,500 TL"
44,140,4 + 1," ali obuz'dan teraslı, balkonlu 4+1 kiralık daire",Kombi,40 Yaşında, 2. Kat,"Sarıyer,Rumeli Hisarı Mahallesi",13 Temmuz 2020,"6,500 TL"
45,120,2 + 1, ayazağa kadıköy birlik sitesi 2+1 kiralık daire,Kombi,16 Yaşında, 3. Kat,"Sarıyer,Ayazağa Mahallesi",13 Temmuz 2020,"2,350 TL"
46,35,4 + 1, yeniköy iskele hemen yakını 4+1 çatıdublex,Kombi,15 Yaşında, 2. Kat,"Sarıyer,Yeniköy Mahallesi",13 Temmuz 2020,"9,000 TL"
47,40,3 + 1, tarabyada kiralık lux bahçe dublex ,Kombi,Sıfır Bina,boş,"Sarıyer,Ferahevler Mahallesi",13 Temmuz 2020,"22,000 TL"
48,100,2 + 1, oryap tan maslak daruşşafaka site de yüksek giriş güvenlıkli 2+1,Kombi,25 Yaşında,boş,"Sarıyer,Darüşşafaka Mahallesi",13 Temmuz 2020,"3,350 TL"
49,140,3 + 1, ayazağa kiralık 3+1 teras kat daire,Kombi,12 Yaşında, 6. Kat,"Sarıyer,Ayazağa Mahallesi",13 Temmuz 2020,"1,750 TL"
50,0,4 + 1, tarabyada kiralık boğaz manzaralı çatı dublex ,Kombi,Sıfır Bina,boş,"Sarıyer,Ferahevler Mahallesi",13 Temmuz 2020,"48,000 TL"
51,168,3 + 1, seba akdağ dream sitesinde 3+1 tek ara katı fırsatı,Kombi,10 Yaşında, 2. Kat,"Sarıyer,İstinye Mahallesi",13 Temmuz 2020,"12,000 TL"
52,50,5 + 2, sarıyer yeniköy havuzlu sitede terastan manzaralı 250m2 dubleks,Kombi,25 Yaşında, Teras Katı,"Sarıyer,Yeniköy Mahallesi",13 Temmuz 2020,"12,000 TL"
53,175,3 + 1, yeniköy de muhteşem boğaz manzaralı kiralık daire,Kombi,40 Yaşında, 1. Kat,"Sarıyer,Yeniköy Mahallesi",13 Temmuz 2020,"14,000 TL"
54,105,1 + 1, 42 maslak b kule'de eşyalı kiralık 1+1 daire (266),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",13 Temmuz 2020,"8,990 TL"
55,190,3 + 1, ahenk'ten tarabya koru evleri'nde kiralık çatı dubleks daire,Kombi,5 Yaşında, Çatı Katı,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"7,000 TL"
56,85,2 + 1, 2+1 3.kat yeni tadilatı yapıldı ,Kombi,20 Yaşında, 3. Kat,"Sarıyer,Ayazağa Mahallesi",13 Temmuz 2020,"1,700 TL"
57,120,2 + 1, tarabya'da sahile 1 dakika mesafede çok temiz eşyalı 2+1 daire,Kombi,25 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"7,000 TL"
58,100,2 + 1, tarabya da metroya yürüme mesafesinde 2+1 kiralık daire,Kombi,25 Yaşında,boş,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"2,500 TL"
59,110,2 + 1, darüşşafaka'da mavi haliç'de kombili yüksek giriş daire,Kombi,27 Yaşında, Giriş Katı,"Sarıyer,Darüşşafaka Mahallesi",13 Temmuz 2020,"3,350 TL"
60,160,3 + 1, emirgan değirmentepe'de 3+1 kiralık lüks ferah daire,Kombi,30 Yaşında, 2. Kat,"Sarıyer,Reşitpaşa Mahallesi",12 Temmuz 2020,"6,400 TL"
61,450,4 + 1, tarabya butik sitede çatı dubleksi,Kombi,20 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"20,000 TL"
62,125,2 + 1, huzur nidapark modern eşyalı 2+1 kiralık daire (138),Kombi,3 Yaşında, 12. Kat,"Sarıyer,Huzur Mahallesi",13 Temmuz 2020,"8,190 TL"
63,80,5 + 1, panorama'dan istinye park'ta bakımlı kiralık çatı dubleksi,Kombi,12 Yaşında, 5. Kat,"Sarıyer,İstinye Mahallesi",13 Temmuz 2020,"25,000 TL"
64,130,2 + 1, l'ist istinye'de kiralık 2+1 bahçe katı daire,Kombi,8 Yaşında, Bahçe Katı,"Sarıyer,İstinye Mahallesi",13 Temmuz 2020,"15,000 TL"
65,50,5 + 1," yeniköyde sitede teraslı,manzaralı dubleks",Kombi,25 Yaşında, Çatı Katı,"Sarıyer,Yeniköy Mahallesi",12 Temmuz 2020,"12,000 TL"
66,50,5 + 2, suat demir'den yeniköy'de kısmi manzaralı 240m2-5+2dubleks daire,Kombi,25 Yaşında, Teras Katı,"Sarıyer,Yeniköy Mahallesi",10 Temmuz 2020,"12,000 TL"
67,120,2 + 1," sarıyer tarabya deniz,doğa,3.köprü manzara'lı,sahil,ulaşım 2.dk",Kombi,15 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"6,000 TL"
68,110,2 + 1," sarıyer tarabya deniz,doğa,3.köprü manzara'lı,sahil,ulaşım 2.dk",Kombi,15 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"6,000 TL"
69,140,2 + 1, merkez zekeriyaköy sitesinde kiralık 2+1 çatı dubleksi daire,Kombi,5 Yaşında, Çatı Katı,"Sarıyer,Zekeriyaköy Mahallesi",11 Temmuz 2020,"4,750 TL"
70,130,2 + 1, tarabya marina manzaralı çok temiz kiralık ofis işyeri,Kombi,25 Yaşında, 4. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"8,500 TL"
71,140,4 + 1, istinye emirgan sit. yeşillikler içinde ferah bakımlı 4+1 daire,Kombi,40 Yaşında, 1. Kat,"Sarıyer,Reşitpaşa Mahallesi",10 Temmuz 2020,"4,000 TL"
72,110,2 + 1, sarıyer merkezde ulasıma yakın bahcelı mustakıl ev,Kombi,20 Yaşında, Bahçe Katı,"Sarıyer,Merkez Mahallesi",6 Temmuz 2020,"2,600 TL"
73,110,2 + 1, tarabyaüstünde aileye uygun daire,Kombi,25 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"1,300 TL"
74,65,1 + 1, tarabya üstü metroya 15 dk mesafede eşyalı 1+1 daire,Kombi,25 Yaşında, Giriş Katı,"Sarıyer,Cumhuriyet Mahallesi",12 Temmuz 2020,"1,650 TL"
75,130,2 + 1, folyapı gayrimenkul'den 2+1 120 m2 harika konumda kaçmaz ,Kombi,12 Yaşında, 7. Kat,"Sarıyer,Ayazağa Mahallesi",10 Temmuz 2020,"2,200 TL"
76,130,3 + 1, haliç emlaktan kiralık 3+1 daire,Kombi,20 Yaşında, 4. Kat,"Sarıyer,Kireçburnu Mahallesi",13 Temmuz 2020,"2,600 TL"
77,85,1 + 1, cb meta'dan sarıyer alya evleri'nde 1+1 80 m2 bahçeli daire,Kombi,4 Yaşında, Bahçe Katı,"Sarıyer,Zekeriyaköy Mahallesi",8 Temmuz 2020,"3,000 TL"
78,85,5 + 1," sarıyer tarabya'da depreme dayanıklı,5+1,sıfır kiralık bahçedubx",Kombi,1 Yaşında, Bahçe Katı,"Sarıyer,Ferahevler Mahallesi",6 Temmuz 2020,"10,000 TL"
79,00,3 + 1, sarıyer tarabya da ulaşıma yakın 3+1 temiz deniz manzaralı 190m2,Kombi,21 Yaşında, 5. Kat,"Sarıyer,Tarabya Mahallesi",9 Temmuz 2020,"4,000 TL"
80,110,3 + 1, haliç emlaktan şenevlerde 3+1 çatı katı,Kombi,20 Yaşında, 4. Kat,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"2,300 TL"
81,118,3 + 1, istinye parka yakın güvenlikli otoparklı sitede 3+1 kombili,Kombi,23 Yaşında, 3. Kat,"Sarıyer,Poligon Mahallesi",13 Temmuz 2020,"3,000 TL"
82,120,2 + 1," sarıyer tarabya deniz,doğa,3.köprü manzara'lı,sahil,ulaşım 2.dk",Kombi,20 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"6,000 TL"
83,00,3 + 1, sarıyerin en güzel beldelerinde bahçeli 169 m'2...3+1..şık daire,Kombi,15 Yaşında, Bahçe Katı,"Sarıyer,Kumköy Mahallesi",9 Temmuz 2020,"5,500 TL"
84,115,2 + 1, istinye muhayyeş korusunda doğa içinde kısmi manzaralı,Kombi,25 Yaşında, 1. Kat,"Sarıyer,İstinye Mahallesi",12 Temmuz 2020,"5,000 TL"
85,120,2 + 1, sarıyer turyap tan bahçe katı 2+1 daire,Kombi,30 Yaşında, Bahçe Katı,"Sarıyer,Merkez Mahallesi",7 Temmuz 2020,"2,500 TL"
86,110,2 + 1, sarıyer tarabya'da teraslı eşyalı kiralık daire...,Kombi,30 Yaşında, Çatı Katı,"Sarıyer,Tarabya Mahallesi",9 Temmuz 2020,"3,000 TL"
87,100,2 + 1, manzaralı temiz masrafsız 2+1 çatı katı daire,Kombi,25 Yaşında, 2. Kat,"Sarıyer,Emirgan Mahallesi",8 Temmuz 2020,"4,000 TL"
88,120,2 + 1, sarıyer ayazağa sitede 2+1 115 m2 kiralık daire-öğrenciye aileye,Kombi,7 Yaşında, 8. Kat,"Sarıyer,Ayazağa Mahallesi",11 Temmuz 2020,"2,200 TL"
89,80,2 + 1, tarabya üstünde cadde ulaşım marketlere yakın kiralık 2+1 daire,Kombi,25 Yaşında, Giriş Katı,"Sarıyer,Cumhuriyet Mahallesi",12 Temmuz 2020,"1,450 TL"
